elevation (ft),location
23,"Bay St. Louis, Mississippi, USA"
2493,"Sao Paulo, Brazil"
131,"Tokyo, Japan"
7,"Atlantic City, New Jersey, USA"
3,"East Rutherford, New Jersey, USA"
2001,"Las Vegas, Nevada, USA"
1099,"Uncasville, Connecticut, USA"
174,"Bossier City, Louisiana, USA"
36,"London, England, United Kingdom"
6,"Miami, Florida, USA"
157,"Anaheim, California, USA"
285,"Los Angeles, California, USA"
9,"Hollywood, Florida, USA"
30,"Sacramento, California, USA"
62,"San Diego, California, USA"
902,"Columbus, Ohio, USA"
105,"Houston, Texas, USA"
125,"Manchester, England, United Kingdom"
184,"Belfast, Northern Ireland, United Kingdom"
482,"Cincinnati, Ohio, USA"
13,"Newark, New Jersey, USA"
184,"Newcastle, England, United Kingdom"
5420,"Broomfield, Colorado, USA"
764,"Montreal, Quebec, Canada"
866,"Minneapolis, Minnesota, USA"
1050,"Atlanta, Georgia, USA"
1089,"Omaha, Nebraska, USA"
459,"Birmingham, England, United Kingdom"
636,"Rosemont, Illinois, USA"
102,"Fayetteville, North Carolina, USA"
279,"Dublin, Leinster, Ireland"
48,"Tampa, Florida, USA"
597,"Nashville, Tennessee, USA"
121,"Cologne, North Rhine-Westphalia, Germany"
39,"Philadelphia, Pennsylvania, USA"
50,"Portland, Oregon, USA"
1201,"Oklahoma City, Oklahoma, USA"
430,"Dallas, Texas, USA"
338,"Memphis, Tennessee, USA"
312,"Fairfax, Virginia, USA"
62,"Sydney, New South Wales, Australia"
761,"Charlotte, North Carolina, USA"
89,"Abu Dhabi, United Arab Emirates"
105,"Vancouver, British Columbia, Canada"
43,"Oakland, California, USA"
141,"Boston, Massachusetts, USA"
768,"Austin, Texas, USA"
715,"Indianapolis, Indiana, USA"
256,"Oberhausen, North Rhine-Westphalia, Germany"
961,"Auburn Hills, Michigan, USA"
890,"Killeen, Texas, USA"
466,"Louisville, Kentucky, USA"
175,"Seattle, Washington, USA"
251,"Toronto, Ontario, Canada"
26,"Pittsburgh, Pennsylvania, USA"
617,"Milwaukee, Wisconsin, USA"
1759,"Rio de Janeiro, Brazil"
3,"New Orleans, Louisiana, USA"
5280,"Denver, Colorado, USA"
409,"Washington, DC, USA"
82,"San Jose, California, USA"
597,"Chicago, Illinois, USA"
66,"Saitama, Japan"
0,"Stockholm, Sweden"
0,"Sunrise, Florida, USA"
2720,"Belo Horizonte, Minas Gerais, Brazil"
3428,"Calgary, Alberta, Canada"
151,"Nottingham, England, United Kingdom"
135,"Macau, China"
3,"Gold Coast, Queensland, Australia"
92,"Jaragua do Sul, Santa Catarina, Brazil"
69,"Fortaleza, Ceara, Brazil"
784,"Winnipeg, Manitoba, Canada"
2359,"Barueri, Sao Paulo, Brazil"
548,"Fort Campbell, Kentucky, USA"
2556,"Goiania, Goias, Brazil"
72,"Brisbane, Queensland, Australia"
59,"Singapore, Singapore"
1096,"Duluth, Georgia, USA"
62,"Natal, Rio Grande do Norte, Brazil"
322,"Quebec City, Quebec, Canada"
82,"Orlando, Florida, USA"
480,"Baltimore, Maryland, USA"
112,"Berlin, Germany"
5312,"Albuquerque, New Mexico, USA"
125,"Auckland, New Zealand"
650,"San Antonio, Texas, USA"
118,"Bangor, Maine, USA"
722,"Tulsa, Oklahoma, USA"
295,"Ledyard, Connecticut, USA"
3845,"Brasilia, Distrito Federal, Brazil"
52,"Halifax, Nova Scotia, Canada"
2831,"Uberlandia, Minas Gerais, Brazil"
7382,"Mexico City, Distrito Federal, Mexico"
1086,"Phoenix, Arizona, USA"
33,"Porto Alegre, Rio Grande do Sul, Brazil"
735,"Krakow, Poland"
2385,"Adelaide, South Australia, Australia"
16,"Manila, Philippines"
112,"Berlin, Berlin, Germany"
125,"Glasgow, Scotland, United Kingdom"
1759,"Rio de Janeiro, Rio de Janeiro, Brazil"
1580,"Saskatoon, Saskatchewan, Canada"
2493,"Sao Paulo, Sao Paulo, Brazil"
102,"Melbourne, Victoria, Australia"
1772,"Monterrey, Nuevo Leon, Mexico"
125,"Seoul, South Korea"
518,"Zagreb, Croatia"
0,"Rotterdam, Zuid-Holland, Netherlands"
3066,"Curitiba, Parana, Brazil"
230,"Ottawa, Ontario, Canada"
1470,"Sioux Falls, South Dakota, USA"
4226,"Salt Lake City, Utah, USA"
20,"Hamburg, Hamburg, Germany"
653,"Cleveland, Ohio, USA"
102,"Hidalgo, Texas, USA"
33,"New York City, New York, USA"
141,"Albany, New York, USA"
33,"Brooklyn, New York, USA"
600,"Buffalo, New York, USA"
909,"Kansas City, Missouri, USA"
39,"Kallang, Singapore"
52,"Uniondale, New York, USA"
2116,"Edmonton, Alberta, Canada"
66,"Saitama, Saitama, Japan"
26,"Gdansk, Poland"
7,"Norfolk, Virginia, USA"
13,"Shanghai, Hebei, China"
656,"Detroit, Michigan, USA"
308,"Fresno, California, USA"
466,"St. Louis, Missouri, USA"
1388,"Belem, Para, Brazil"
49,"Perth, Western Australia, Australia"
1152,"Glendale, Arizona, USA"
1870,"Santiago, Chile"
230,"Liverpool, England, United Kingdom"
456,"Utica, New York, USA"
2730,"Boise, Idaho, USA"
1176,"Lincoln, Nebraska, USA"
2579,"Moscow, Moscow, Russia"
46,"Moncton, New Brunswick, Canada"
82,"Buenos Aires, Buenos Aires, Argentina"
144,"Beijing, China"
784,"Prague, Czech Republic"
1302,"Wichita, Kansas, USA"
56,"Saint Petersburg, Saint Petersburg, Russia"
505,"Rochester, New York, USA"
69,"Busan, South Korea"
315,"Raleigh, North Carolina, USA"
20,"Copenhagen, Denmark"
89,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
3,"Shenzhen, Guangdong, China"
141,"Montevideo, Uruguay"
5290,"Rio Rancho, New Mexico, USA"
965,"Greenville, South Carolina, USA"
16,"Jacksonville, Florida, USA"
